import time: self [us] | cumulative | imported package
import time:        72 |         72 | winreg
import time:       146 |        146 |   _io
import time:        24 |         24 |   marshal
import time:       149 |        149 |   nt
import time:       425 |        743 | _frozen_importlib_external
import time:       433 |        433 |   time
import time:       166 |        598 | zipimport
import time:        51 |         51 |     _codecs
import time:       376 |        427 |   codecs
import time:       806 |        806 |   encodings.aliases
import time:      1331 |       2562 | encodings
import time:       479 |        479 | encodings.utf_8
import time:       480 |        480 | encodings.cp1252
import time:        34 |         34 | _signal
import time:        29 |         29 |     _abc
import time:       128 |        156 |   abc
import time:       111 |        266 | io
import time:        42 |         42 |       _stat
import time:        73 |        114 |     stat
import time:       638 |        638 |     _collections_abc
import time:        65 |         65 |       genericpath
import time:        66 |         66 |       _winapi
import time:       203 |        333 |     ntpath
import time:       490 |       1574 |   os
import time:        70 |         70 |   _sitebuiltins
import time:        46 |         46 |   errno
import time:       540 |        540 |   encodings.utf_8_sig
import time:       649 |        649 |   _virtualenv
import time:       278 |        278 |   sitecustomize
import time:      1224 |       4378 | site
import time:       833 |        833 | linecache
import time:       546 |        546 |     __future__
import time:       111 |        111 |             itertools
import time:       513 |        513 |             keyword
import time:        73 |         73 |               _operator
import time:       631 |        703 |             operator
import time:       550 |        550 |             reprlib
import time:        56 |         56 |             _collections
import time:      1207 |       3138 |           collections
import time:        45 |         45 |           _functools
import time:       830 |       4012 |         functools
import time:       617 |        617 |             types
import time:       888 |       1505 |           contextlib
import time:      1342 |       1342 |             enum
import time:        58 |         58 |               _sre
import time:       525 |        525 |                 re._constants
import time:       762 |       1287 |               re._parser
import time:       416 |        416 |               re._casefix
import time:       693 |       2452 |             re._compiler
import time:       509 |        509 |             copyreg
import time:       880 |       5181 |           re
import time:       235 |        235 |               posix
import time:       214 |        214 |               posix
import time:       121 |        570 |             posixpath
import time:       492 |       1061 |           fnmatch
import time:       743 |       8489 |         glob
import time:       817 |      13318 |       pathlib._abc
import time:       693 |        693 |         warnings
import time:       240 |        240 |         pwd
import time:       218 |        218 |         grp
import time:       844 |       1993 |       pathlib._local
import time:       611 |      15921 |     pathlib
import time:       711 |        711 |             _ast
import time:      1193 |       1903 |           ast
import time:        36 |         36 |               _opcode
import time:       578 |        578 |               _opcode_metadata
import time:       662 |       1275 |             opcode
import time:      1166 |       2441 |           dis
import time:       653 |        653 |             importlib
import time:        57 |        710 |           importlib.machinery
import time:       534 |        534 |             token
import time:        36 |         36 |             _tokenize
import time:       958 |       1527 |           tokenize
import time:       545 |        545 |             _weakrefset
import time:       681 |       1226 |           weakref
import time:      2004 |       9807 |         inspect
import time:        52 |         52 |           _typing
import time:      2064 |       2115 |         typing
import time:       941 |        941 |         gettext
import time:     17922 |      17922 |             _uuid
import time:       750 |      18672 |           uuid
import time:       113 |        113 |             _datetime
import time:       713 |        826 |           datetime
import time:       885 |        885 |                   threading
import time:      1215 |       2100 |                 sysconfig
import time:     33932 |      33932 |                 _ctypes
import time:        58 |         58 |                   _struct
import time:       675 |        732 |                 struct
import time:       740 |        740 |                 ctypes._endian
import time:      1169 |      38672 |               ctypes
import time:       845 |        845 |               ctypes.wintypes
import time:        41 |         41 |               msvcrt
import time:      1176 |      40732 |             click._winconsole
import time:       731 |      41463 |           click._compat
import time:       228 |        228 |             click.globals
import time:       342 |        342 |             click.utils
import time:       449 |       1018 |           click.exceptions
import time:      1575 |      63551 |         click.types
import time:       322 |        322 |         click._utils
import time:       321 |        321 |           click.parser
import time:       278 |        598 |         click.formatting
import time:       345 |        345 |         click.termui
import time:      1068 |      78745 |       click.core
import time:       300 |        300 |       click.decorators
import time:       570 |      79614 |     click
import time:       306 |        306 |       numpy.version
import time:       200 |        200 |       numpy._expired_attrs_2_0
import time:       238 |        238 |           numpy._utils._convertions
import time:       235 |        473 |         numpy._utils
import time:       305 |        777 |       numpy._globals
import time:        50 |         50 |         numpy._distributor_init_local
import time:       212 |        262 |       numpy._distributor_init
import time:        57 |         57 |                 math
import time:       291 |        291 |                 numpy.exceptions
import time:       318 |        318 |                 numpy._core._exceptions
import time:        35 |         35 |                     _contextvars
import time:       639 |        673 |                   contextvars
import time:       225 |        898 |                 numpy._core.printoptions
import time:       216 |        216 |                 numpy.dtypes
import time:      5750 |       7528 |               numpy._core._multiarray_umath
import time:       220 |        220 |                 numpy._utils._inspect
import time:       348 |        568 |               numpy._core.overrides
import time:      1431 |       9527 |             numpy._core.multiarray
import time:       253 |        253 |             numpy._core.umath
import time:       934 |        934 |               numbers
import time:       242 |        242 |               numpy._core._dtype
import time:       192 |        192 |               numpy._core._string_helpers
import time:       339 |        339 |               numpy._core._type_aliases
import time:       353 |       2057 |             numpy._core.numerictypes
import time:       673 |        673 |                         _compat_pickle
import time:        81 |         81 |                         _pickle
import time:      1149 |       1901 |                       pickle
import time:       259 |       2160 |                     numpy._core._methods
import time:       717 |       2876 |                   numpy._core.fromnumeric
import time:       338 |       3214 |                 numpy._core.shape_base
import time:       256 |        256 |                 numpy._core._ufunc_config
import time:       196 |        196 |                 numpy._core._asarray
import time:       502 |        502 |                 numpy._core.arrayprint
import time:       635 |       4801 |               numpy._core.numeric
import time:       299 |       5099 |             numpy._core.einsumfunc
import time:       277 |        277 |             numpy._core.function_base
import time:       278 |        278 |             numpy._core.getlimits
import time:       266 |        266 |             numpy._core.memmap
import time:       332 |        332 |             numpy._core.records
import time:      1060 |       1060 |               textwrap
import time:      3902 |       4961 |             numpy._core._add_newdocs
import time:       594 |        594 |             numpy._core._add_newdocs_scalars
import time:       211 |        211 |             numpy._core._dtype_ctypes
import time:       539 |        539 |             numpy._core._internal
import time:       228 |        228 |             numpy._pytesttester
import time:       528 |      25145 |           numpy._core
import time:        24 |      25169 |         numpy._core._multiarray_umath
import time:       290 |      25459 |       numpy.__config__
import time:       254 |        254 |                         numpy._typing._nbit_base
import time:       280 |        280 |                         numpy._typing._nested_sequence
import time:       186 |        186 |                         numpy._typing._shape
import time:      1632 |       2350 |                       numpy._typing._array_like
import time:      1199 |       1199 |                       numpy._typing._char_codes
import time:      1851 |       1851 |                       numpy._typing._dtype_like
import time:       194 |        194 |                       numpy._typing._nbit
import time:       195 |        195 |                       numpy._typing._scalars
import time:       193 |        193 |                       numpy._typing._ufunc
import time:       336 |       6317 |                     numpy._typing
import time:       289 |        289 |                       numpy.lib._stride_tricks_impl
import time:       341 |        630 |                     numpy.lib._twodim_base_impl
import time:       189 |        189 |                       numpy.lib._array_utils_impl
import time:       187 |        376 |                     numpy.lib.array_utils
import time:       409 |        409 |                     numpy.linalg._umath_linalg
import time:      1193 |       8923 |                   numpy.linalg._linalg
import time:       320 |       9242 |                 numpy.linalg
import time:       344 |       9586 |               numpy.matrixlib.defmatrix
import time:       244 |       9830 |             numpy.matrixlib
import time:       320 |        320 |               numpy.lib._histograms_impl
import time:       811 |       1131 |             numpy.lib._function_base_impl
import time:       492 |      11452 |           numpy.lib._index_tricks_impl
import time:       457 |      11909 |         numpy.lib._arraypad_impl
import time:       738 |        738 |         numpy.lib._arraysetops_impl
import time:       232 |        232 |         numpy.lib._arrayterator_impl
import time:       395 |        395 |         numpy.lib._nanfunctions_impl
import time:     17884 |      17884 |                   _wmi
import time:      1160 |      19043 |                 platform
import time:       313 |      19356 |               numpy.lib._utils_impl
import time:       277 |      19632 |             numpy.lib._format_impl
import time:       186 |      19818 |           numpy.lib.format
import time:       369 |        369 |           numpy.lib._datasource
import time:       414 |        414 |           numpy.lib._iotools
import time:       599 |      21198 |         numpy.lib._npyio_impl
import time:       278 |        278 |             numpy.lib._ufunclike_impl
import time:       320 |        598 |           numpy.lib._type_check_impl
import time:       502 |       1100 |         numpy.lib._polynomial_impl
import time:       383 |        383 |         numpy.lib._shape_base_impl
import time:       382 |        382 |         numpy.lib._version
import time:       192 |        192 |         numpy.lib.introspect
import time:       245 |        245 |         numpy.lib.mixins
import time:       174 |        174 |         numpy.lib.npyio
import time:       315 |        315 |           numpy.lib._scimath_impl
import time:       168 |        483 |         numpy.lib.scimath
import time:       174 |        174 |         numpy.lib.stride_tricks
import time:       474 |      38073 |       numpy.lib
import time:       210 |        210 |       numpy._array_api_info
import time:      1229 |      66512 |     numpy
import time:       624 |        624 |         copy
import time:       976 |       1600 |       dataclasses
import time:       421 |        421 |           scipy.__config__
import time:       209 |        209 |           scipy.version
import time:        46 |         46 |             scipy._distributor_init_local
import time:       192 |        237 |           scipy._distributor_init
import time:        66 |         66 |                 zlib
import time:       538 |        538 |                   _compression
import time:       544 |        544 |                   _bz2
import time:       562 |       1643 |                 bz2
import time:       544 |        544 |                   _lzma
import time:       564 |       1108 |                 lzma
import time:       900 |       3715 |               shutil
import time:        44 |         44 |                   _locale
import time:      1141 |       1185 |                 locale
import time:       732 |        732 |                 signal
import time:       242 |        242 |                 fcntl
import time:       898 |       3055 |               subprocess
import time:       753 |        753 |                 importlib._abc
import time:       131 |        883 |               importlib.util
import time:       238 |        238 |               cython
import time:        26 |         26 |               _sysconfig
import time:      1115 |       9030 |             scipy._lib._testutils
import time:       215 |       9245 |           scipy._lib
import time:      1246 |       1246 |           scipy._lib._pep440
import time:       406 |        406 |               scipy._cyutility
import time:       444 |        849 |             scipy._lib._ccallback_c
import time:       297 |       1146 |           scipy._lib._ccallback
import time:       577 |      13080 |         scipy
import time:       514 |        514 |               numpy._typing._add_docstring
import time:       254 |        768 |             numpy.typing
import time:       755 |        755 |                   scipy._lib.array_api_compat.common._typing
import time:       461 |       1215 |                 scipy._lib.array_api_compat.common._helpers
import time:       300 |       1515 |               scipy._lib.array_api_compat.common
import time:       298 |       1812 |             scipy._lib.array_api_compat
import time:       200 |        200 |               scipy._lib.array_api_compat._internal
import time:       493 |        493 |                 numpy.ctypeslib._ctypeslib
import time:       219 |        711 |               numpy.ctypeslib
import time:       235 |        235 |               numpy.rec
import time:      3545 |       3545 |                 numpy.ma.core
import time:       675 |        675 |                 numpy.ma.extras
import time:       277 |       4496 |               numpy.ma
import time:       570 |        570 |                       _colorize
import time:       885 |       1455 |                     traceback
import time:       568 |        568 |                     unittest.util
import time:       803 |       2824 |                   unittest.result
import time:        36 |         36 |                         _heapq
import time:       580 |        616 |                       heapq
import time:       906 |       1522 |                     difflib
import time:       787 |        787 |                     pprint
import time:       874 |       3182 |                   unittest.case
import time:       587 |        587 |                   unittest.suite
import time:       745 |        745 |                   unittest.loader
import time:      1040 |       1040 |                     argparse
import time:       484 |        484 |                       unittest.signals
import time:       538 |       1021 |                     unittest.runner
import time:       551 |       2611 |                   unittest.main
import time:       757 |      10705 |                 unittest
import time:       288 |        288 |                 numpy.testing._private
import time:       187 |        187 |                 numpy.testing.overrides
import time:       291 |        291 |                 numpy.testing._private.extbuild
import time:       566 |        566 |                     concurrent
import time:        32 |         32 |                           _string
import time:       935 |        967 |                         string
import time:        33 |         33 |                         atexit
import time:      2866 |       3864 |                       logging
import time:       855 |       4718 |                     concurrent.futures._base
import time:       643 |       5926 |                   concurrent.futures
import time:        34 |         34 |                   gc
import time:        43 |         43 |                           _json
import time:       784 |        827 |                         json.scanner
import time:       972 |       1799 |                       json.decoder
import time:       649 |        649 |                       json.encoder
import time:       690 |       3137 |                     json
import time:       699 |        699 |                     email
import time:        60 |         60 |                       binascii
import time:       744 |        744 |                         zipfile._path.glob
import time:       873 |       1617 |                       zipfile._path
import time:      1291 |       2967 |                     zipfile
import time:       691 |        691 |                     importlib.metadata._meta
import time:       561 |        561 |                     importlib.metadata._collections
import time:       455 |        455 |                     importlib.metadata._functools
import time:       468 |        468 |                     importlib.metadata._itertools
import time:        47 |         47 |                                 _bisect
import time:       551 |        598 |                               bisect
import time:        32 |         32 |                               _random
import time:       716 |       1346 |                             random
import time:       687 |       2032 |                           tempfile
import time:       648 |        648 |                           importlib.resources.abc
import time:       762 |       3441 |                         importlib.resources._common
import time:       505 |        505 |                         importlib.resources._functional
import time:       533 |       4478 |                       importlib.resources
import time:       686 |       5164 |                     importlib.abc
import time:      1157 |      15294 |                   importlib.metadata
import time:     19247 |      19247 |                     _socket
import time:     15906 |      15906 |                       select
import time:      1201 |      17107 |                     selectors
import time:      1248 |      37601 |                   socket
import time:     78527 |     137380 |                 numpy.testing._private.utils
import time:       301 |     149150 |               numpy.testing
import time:       543 |        543 |                 numpy._core.strings
import time:       330 |        873 |               numpy.strings
import time:       549 |        549 |                     numpy.random._common
import time:       656 |        656 |                       base64
import time:     62356 |      62356 |                         _hashlib
import time:        53 |         53 |                           _blake2
import time:       900 |        953 |                         hashlib
import time:       718 |      64026 |                       hmac
import time:       726 |      65408 |                     secrets
import time:       547 |      66504 |                   numpy.random.bit_generator
import time:       464 |      66967 |                 numpy.random._bounded_integers
import time:       314 |        314 |                     numpy.random._pcg64
import time:      1172 |       1485 |                   numpy.random._generator
